a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
akonadi-contacts 22.04.2-1
alsa-card-profiles 1:0.3.53-2
alsa-lib 1.2.7.1-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.1-1
aom 3.4.0-1
apparmor 3.0.4-2
appstream 0.15.4-1
appstream-glib 0.7.18-2
appstream-qt 0.15.4-1
archlinux-keyring 20220424-1
argon2 20190702-4
ark 22.04.2-1
asciidoc 10.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atool 0.39.0-8
attica 5.95.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.90-2
baloo 5.95.0-1
baloo-widgets 22.04.2-1
base 2-2
bash 5.1.016-1
bat 0.21.0-1
bc 1.07.1-4
binutils 2.38-6
bison 3.8.2-4
blas 3.10.1-1
bluedevil 1:5.25.2-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.95.0-1
bolt 0.9.2-1
boost-libs 1.79.0-1
botan 2.19.2-1
breeze 5.25.2-1
breeze-gtk 5.25.2-1
breeze-icons 5.95.0-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
calligra 3.2.1-34
cantarell-fonts 1:0.303.1-1
cauchy 0.9.0-3
cblas 3.10.1-1
cdparanoia 10.2-8
ceph-libs 15.2.14-6
cfitsio 1:4.1.0-1
cifs-utils 6.15-1
cmake 3.23.2-1
cmatrix 2.0-2
confuse 3.3-3
convertlit 1.8-10
coreutils 9.1-1
cryptsetup 2.4.3-2
cups 1:2.4.2-3
cups-filters 1.28.15-1
curl 7.84.0-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
diffutils 3.8-1
digikam 7.7.0-1
discord 0.0.18-1
discount 2.2.7.b-1
discover 5.25.2-2
